AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,SUMASSURED,PREMIUM
63,1,1,1,17,115,1940000,1385768.35
40,1,1,1,28,115,1980000,109638.64
41,1,1,1,21,115,580000,63567.98
48,1,1,1,28,105,1300000,24601.45
57,1,1,1,25,115,250000,9361.08
44,1,1,1,21,115,2000000,207892.2
52,1,1,1,28,115,650000,71142.91
63,1,1,1,15,115,340000,18106.45
47,1,1,1,24,15,7288080,535623.41
48,1,1,1,27,115,3000000,285391.83
41,1,1,1,22,115,560000,9183.96
43,1,1,1,25,115,250000,46471.77
52,1,1,1,29,115,1200000,126062.15
52,1,1,1,21,105,1700000,359769.1
44,1,1,1,28,105,1800000,361780.02
67,1,1,1,18,115,220000,23340.01
44,1,1,1,24,115,225000,24050.54
69,1,1,1,20,115,640000,20378.52
45,1,1,1,30,115,1300000,130055.57
41,1,1,1,30,105,210000,51736.08
60,1,1,1,15,115,575000,63808.49
47,1,1,1,26,115,225000,53683.29
62,1,1,1,20,115,650000,68315.6
42,1,1,1,26,115,570000,75069.1
40,1,1,1,20,105,290000,13053.47
43,1,1,1,29,105,1100000,54640.21
43,1,1,1,26,105,1200000,150444.59
68,1,1,1,18,115,350000,1141.11
62,1,1,1,17,115,320000,905.88
41,1,1,1,27,115,1400000,140122.83
48,1,1,1,23,115,650000,63825.89
58,1,1,1,28,115,800000,315534.63
65,1,1,1,17,115,380000,156815.35
50,1,1,1,29,115,300000,116502.09
40,1,1,1,24,115,296000,29219.86
57,1,1,1,28,115,540000,125126.78
66,1,1,1,17,115,490000,47140.8
68,1,1,1,19,115,670000,160359.27
61,1,1,1,16,115,320000,76352.67
65,1,1,1,20,98,810000,145131.25
41,1,1,1,28,115,410000,82923.98
67,1,1,1,15,115,625000,65254.83
41,1,1,1,26,105,980000,193012.86
40,1,1,1,21,115,135000,13121.3
70,1,1,1,17,115,2000000,218496.23
53,1,1,1,22,105,153000,16658.47
42,1,1,1,27,115,270000,14744.97
64,1,1,1,19,115,210000,102.14
46,1,1,1,22,115,360000,33541.14
59,1,1,1,30,105,1600000,143419.53
46,1,1,1,26,115,400000,146141.53
61,1,1,1,18,105,800000,60930.39
70,1,1,1,18,105,200000,30.38
51,1,1,1,22,115,980000,69156.29
42,1,1,1,25,115,100000,39449.03
67,1,1,1,16,115,900000,198937.13
70,1,1,1,17,115,230000,168019.67
70,1,1,1,18,115,180000,18706.32
47,1,1,1,27,115,115000,17780.55
58,1,1,1,28,115,250000,22568.95
50,1,1,1,20,115,370000,24562.63
56,1,1,1,25,105,190000,32654.35
53,1,1,1,27,115,720000,276787.57
63,1,1,1,19,115,500000,20663.91
59,1,1,1,22,105,250000,31097.31
60,1,1,1,20,115,167000,66862.52
68,1,1,1,17,105,1450000,153221.23
40,1,1,1,20,105,1500000,116650.05
55,1,1,1,25,115,320000,27896.85
50,1,1,1,24,115,500000,268523.56
47,1,1,1,22,115,250000,29667.1
69,1,1,1,18,115,3500000,345573.7
47,1,1,1,25,105,2000000,1282130.51
55,1,1,1,23,115,415000,87847.88
57,1,1,1,30,115,460000,124976.69
50,1,1,1,26,105,400000,128.07
54,0,1,1,21,115,146000,15579.14
53,0,1,1,29,115,3900000,266664.55
61,0,1,1,15,115,400000,200908.54
